Raw_Name	Name	Latitude	Longitude	City	State
scandia elementary	Scandia Elementary School	38.2755937	-121.9451628	Fairfield	CA
west side summit charter school	West Side Summit Charter School	44.93117240000001	-93.08626679999999	St Paul	MN
foley intermediate elementary	Foley Intermediate School	30.38612729999999	-87.6921436	Foley	AL
belgrade-brooten-elrosa elementary	Belgrade-Brooten-Elrosa Elementary School	45.5017427	-95.1293251	Brooten	MN
praxis program	Washington University in St. Louis	38.6487895	-90.31079620000001	St. Louis	MO
shirley hills primary school	Shirley Hills Primary School	44.9331509	-93.65628319999999	Mound	MN
blue earth area middle	Blue Earth Junior High School	43.6391216	-94.0985709	Blue Earth	MN
miltona elementary	Miltona Elementary School	46.0433333	-95.28833329999999	Miltona	MN
howard lake-waverly-winsted	Howard Lake Waverly High School	45.02830669999999	-94.06644560000001	Howard Lake	MN
marshall county central schools	Newfolden Elementary School	48.3566475	-96.33248139999999	Newfolden	MN
minnesota transitions middle	Minnesota Transitions Charter Schools	44.9502773	-93.2375465	Minneapolis	MN
southwest senior high	Southwest Miami Senior High School	25.7226201	-80.3389996	Miami	FL
four directions charter schools	Four Directions Charter School	44.998985	-93.2948088	Minneapolis	MN
valentine hills elementary	Valentine Hills Elementary School	45.0564184	-93.1761633	St Paul	MN
great expectations	Great Expectations Foundation	35.92137449999999	-94.96688019999999	Tahlequah	OK
barton open elementary	Clara Barton Open School	44.9254829	-93.2914011	Minneapolis	MN
twin cities german immersion chrtr	Twin Cities German Immersion School	44.97580800000001	-93.14406699999999	St Paul	MN
prairie care hospital day program	PrairieCare Medical Group	44.93933930000001	-92.95306509999999	Woodbury	MN
special ed-non public	Maryland Association-Nonpublic	39.39961849999999	-76.6054535	Towson	MD
janesville-waldorf-pemberton sec	Janesville Waldorf Pemberton	44.1190125	-93.70676429999999	Janesville	MN
bayview elementary	Bayview Elementary School	26.1411965	-80.1172665	Fort Lauderdale	FL
cornerstone montessori elementary	Cornerstone Montessori School	44.9750006	-93.0324186	St Paul	MN
viking elementary school	Viking Elementary School	43.96173259999999	-91.2500359	Holmen	WI
rahn elementary	Rahn Elementary School	44.7963522	-93.21014009999999	Eagan	MN
maple lake elementary	Maple Lake Elementary School	45.2332842	-93.9989154	Maple Lake	MN
northfield area learning center	Longfellow School	44.457953	-93.169212	Northfield	MN
sherburn elementary	Sherburn Elementary School	43.6582889	-94.72636899999999	Sherburn	MN
isanti middle school	Isanti Middle School	45.4911225	-93.26300909999999	Isanti	MN
pinewood elementary	Pinewood Community School	44.8001089	-93.11590869999999	Eagan	MN
lakeaires elementary	Lakeaires Elementary School	45.0618839	-93.0120082	White Bear Lake	MN
daytons bluff elementary	Daytons Bluff Elementary School	44.95461280000001	-93.0666468	St Paul	MN
washburn elementary	Washburn Elementary School	44.8509204	-93.3176687	Minneapolis	MN
morris area public schools	Morris Area Elementary School	45.5838025	-95.9007669	Morris	MN
dover-eyota elementary	Dover-Eyota High School	43.9831028	-92.2318779	Eyota	MN
myers-wilkins elementary	Myers-Wilkins Elementary School	46.8015225	-92.1003351	Duluth	MN
secondary area learning cntr summer	Faribault Area Learning Center	44.3206397	-93.2700258	Faribault	MN
le sueur-henderson high school	Le Sueur Henderson High School	44.4577237	-93.90225679999999	Le Sueur	MN
calc transition	Calc Transition Special Education	45.139273	-93.161806	Circle Pines	MN
la crescent sec montessori/stem	La Crescent Montessori Academy	43.8178398	-91.30632349999999	La Crescent	MN
marshall middle school	Thurgood Marshall Middle School	32.89615089999999	-117.0992445	San Diego	CA
rails academy	Lincoln RAILS Academy	41.5331333	-93.6282442	Des Moines	IA
galtier elementary school	Galtier Magnet Elementary School	44.9579357	-93.1560604	St Paul	MN
oak grove elementary	Oak Grove Elementary School (Dekalb County)	33.8365025	-84.2886261	Atlanta	GA
central family center	Central Family Center Special Education	44.7941311	-93.52465269999999	Shakopee	MN
milroy elementary	Milroy Elementary School	39.4990074	-85.46361209999999	Milroy	IN
cannon falls sec.	Cannon Falls High School	44.5120538	-92.8898442	Cannon Falls	MN
walnut grove elementary	Walnut Grove Elementary School	37.673219	-121.885377	Pleasanton	CA
sail program	Maricopa County Sail Program	33.4508521	-112.0740075	Phoenix	AZ
fergus falls elementary sp ed 5-8	Fergus Falls Area Special Edu	46.2891173	-96.06799269999999	Fergus Falls	MN
ivan sand community school- is	Ivan Sand After School Credit Recov	45.31212540000001	-93.57930569999999	Elk River	MN
osseo secondary transition center	Osseo Secondary Transition Center	45.0829096	-93.39832129999999	Minneapolis	MN
swmetro river valley ed center	River Valley Education Center	44.65881339999999	-93.6369833	Jordan	MN
schumann elementary	Schumann Elementary School	44.99253600000001	-93.5982209	Long Lake	MN
bay view elementary	Bay View Elementary	36.935425	-76.236328	Norfolk	VA
ponemah elementary	Ponemah Elementary School	48.0180555	-94.9116667	Ponemah	MN
west concord public charter school	West Concord City Hall	44.1517361	-92.8991279	West Concord	MN
edgewood elementary	Edgewood Elementary School	33.4713788	-86.8097246	Birmingham	AL
falcon ridge middle	Falcon Ridge Middle School	44.761781	-93.18493	Apple Valley	MN
rice elementary	Rice Elementary School	40.6874692	-105.0032676	Wellington	CO
venture academy	Venture Academy	41.2691117	-112.0172227	Marriott-Slaterville	UT
trailview elementary	Trailview Elementary School	45.8875293	-93.29474979999999	Mora	MN
st. charles secondary	St Charles High School	43.9714053	-92.0542577	St Charles	MN
red rock ridge learning center	Red Rock Ridge Area Learning Center	43.86648100000001	-95.1085667	Windom	MN
underwood secondary	Underwood Elementary School	46.2818652	-95.87178999999999	Underwood	MN
new london alternative school	New Model School Company	51.5254728	-0.2112725	United Kingdom	
farmington elementary	Farmington Elementary School	35.0923019	-89.778318	Germantown	TN
isle area learning center	ALC	46.1372521	-93.4749717	Isle	MN
brandon-evansville middle school	Brandon School	45.96722219999999	-95.5997222	Brandon	MN
lincoln k-8 choice elementary	Lincoln K-8 Choice Elementary School	44.0083812	-92.45162119999999	Rochester	MN
central elementary	Central Elementary	38.7437341	-90.61153499999999	St Charles	MO
zumbrota-mazeppa middle school	Zumbrota Mazeppa High School	44.290749	-92.67357059999999	Zumbrota	MN
dakota prairie area learning center	Dakota Prairie Area Learning Center	44.634719	-93.155715	Farmington	MN
phoenix learning center	Phoenix Community Learning Center	39.1483251	-84.495638	Cincinnati	OH
ecse	Department of Electrical, Computer, and Systems Engineering	42.7295478	-73.6803261	Troy	NY
victoria elementary	Victoria Elementary School	44.83644109999999	-93.65842579999999	Victoria	MN
northpoint elementary	Northpoint Elementary School	40.511379	-88.9347643	Bloomington	IL
north lakes academy 56	North Lakes Academy	45.2755142	-93.0039362	Forest Lake	MN
caledonia senior high	Caledonia Elementary School	43.6338482	-91.50266830000001	Caledonia	MN
prairie lakes school	Prairie Lakes School	45.142202	-95.0078265	Willmar	MN
chatfield public schools	Chatfield Public Schools Superintendent	43.85376689999999	-92.19163309999999	Chatfield	MN
lincoln elementary	Abraham Lincoln Elementary School	33.6100221	-117.8606119	Corona Del Mar	CA
sun transition south	Intermediate District 287	44.9996874	-93.45050529999999	Plymouth	MN
mountain lake public schools	Mountain Lake Elementary School	43.9419055	-94.9261477	Mountain Lake	MN
sand creek elementary	Sand Creek Elementary School	39.9802206	-85.96347039999999	Fishers	IN
st. anthony middle	St. Anthony Middle School	45.0284842	-93.2142611	Minneapolis	MN
john glenn middle	John Glen Middle School	33.72081120000001	-116.2748643	Indio	CA
622 alternative middle/high school	622 Alternative Middle/High School	45.0214159	-93.0175531	Maplewood	MN
united south central elementary	United South Central High School	43.7340249	-93.73514759999999	Wells	MN
pathways program at red wing high s	Red Wing Independent District Office	44.5360528	-92.5149067	Red Wing	MN
austin area learning center	Austin Area Learning Center	43.6683081	-92.9780107	Austin	MN
nashwauk secondary	Nashwauk Secondary School	47.3765334	-93.1670201	Nashwauk	MN
iq academy minnesota	I Q Academy Minnesota	46.2891173	-96.06799269999999	Fergus Falls	MN
deephaven education center	Deephaven Education Center	44.9214475	-93.524039	Excelsior	MN
rogers elementary	Rogers Elementary School	45.1822548	-93.5538041	Rogers	MN
st. anthony-new brighton schools	St. Anthony New Brighton School District	45.0285851	-93.21429599999999	St Anthony	MN
red oak elementary	Red Oak Elementary School	33.523395	-84.2643259	Stockbridge	GA
keewatin elementary	Keewatin Elementary School	47.4000837	-93.0800603	Keewatin	MN
alc armstrong hs - is	Robbinsdale Armstrong High School	45.02008	-93.4171235	Plymouth	MN
dassel-cokato alternative ctr.	Dassel-Cokato Alternative Center	45.07952699999999	-94.186851	Cokato	MN
northland secondary	Northland Secondary School	1.4358518	103.8402646		
southland elementary	Southland Elementary	40.520937	-111.956691	Riverton	UT
mabel-canton secondary	Mabel Canton Elementary School	43.5198063	-91.77325300000001	Mabel	MN
west central juvenile center	West Central Regional Juvenile Center	46.8834921	-96.7645338	Moorhead	MN
voa phoenix - salt hs	VOA High School	44.9630071	-93.2459686	Minneapolis	MN
ogat	Ögat	60.112627	24.7089819	Finland	
bluff creek elementary	Bluff Creek Elementary School	44.86082009999999	-93.5784276	Chanhassen	MN
magelssen elementary	Magelssen Elementary School	47.5736111	-95.74249999999999	Fosston	MN
northeast college prep charter scho	Northeast College Prep	45.013571	-93.243326	Minneapolis	MN
pine river-backus area learning ctr	Pine River Pequot Middle - Area Learning Center	46.7186514	-94.3928733	Pine River	MN
floodwood secondary	Floodwood Elementary School	46.930352	-92.91575569999999	Floodwood	MN
st. francis alc is	Oak Land Area Learning Center St. Francis	45.3867795	-93.35998169999999	St Francis	MN
st. peter senior high	St. Peter Senior High School	44.3286312	-93.9665766	St Peter	MN
isd 728 focus/journey	VandenBerge Middle School	45.312737	-93.57587799999999	Elk River	MN
rlcc elementary at oklee	Red Lake County Central ISD 2906	47.8396856	-95.85659439999999	Oklee	MN
winona area learning center	Winona Area Learning Center	44.0555435	-91.6721725	Winona	MN
oxbow creek elementary	Oxbow Creek Elementary School	45.1511441	-93.3648205	Champlin	MN
ogilvie elementary	Ogilvie Elementary School	45.82634609999999	-93.4311867	Ogilvie	MN
centennial high school	Centennial High School	34.00704	-84.2905485	Roswell	GA
brookside early childhood sp. edu.	Pure Pharmacy 008 - Latoria	48.409184	-123.509116	Victoria, Canada	 BC
glacier hills elementary	Glacier Hills Elementary	44.818236	-93.155486	St Paul	MN
mn center for online learning	MPS Online Learning	44.9418227	-93.2620302	Minneapolis	MN
the anicca program	Eastern Carver County School District 112	44.8415729	-93.597031	Chaska	MN
minnesota internship center	Minnesota Internship Center	45.0051026	-93.2961162	Minneapolis	MN
lancaster elementary	Lancaster Elementary	30.43202879999999	-90.19924280000001	Madisonville	LA
kennedy senior high	Kennedy High School	44.8279271	-93.27688150000002	Bloomington	MN
cloquet senior	Cloquet Senior High School	46.7097359	-92.44256969999999	Cloquet	MN
winnebago elementary	Winnebago Elementary School	41.94149900000001	-88.0703561	Bloomingdale	IL
special education	Department of Special Education	40.10218099999999	-88.2296389	Champaign	IL
nevis elementary	Nevis Elementary School	46.966106	-94.8441212	Nevis	MN
williams elementary	Williams Elementary	37.20779829999999	-121.8515333	San Jose,	
princeton middle level alc	Princeton Middle School	45.583317	-93.57511199999999	Princeton	MN
red lake juvenile detention faclty	Minnesota Correctional Facility - Red Wing	44.558898	-92.49566139999999	Red Wing	MN
park center ib world school	Park Center Senior High School	45.0889301	-93.34375879999999	Brooklyn Park	MN
friendly hills middle	Friendly Hills Middle School	44.8675039	-93.11945709999999	Mendota Heights	MN
city inc. south	City Inc	44.9427387	-93.2616705	Minneapolis	MN
epsilon	Epsilon	32.8952346	-96.9683069	Irving	TX
south st. paul public school dist.	South St Paul High School	44.89216889999999	-93.0426782	St Paul	MN
gideon pond elementary	Gideon Pond Elementary School	44.7673209	-93.2669382	Burnsville	MN
knights academy	Knights Academy	45.21123299999999	-93.666461	St Michael	MN
east view academy	East View Academy	45.0127277	-93.10402859999999	Little Canada	MN
minnesota new country school	Minnesota New Country School	44.5290245	-93.90350989999999	Henderson	MN
woodbury elementary	Woodbury Elementary School	33.6962403	-117.7496768	Irvine	CA
butterfield elementary	Butterfield Elementary School	32.34597239999999	-111.0390519	Tucson	AZ
warroad high school	Warroad High School	48.9111931	-95.3296422	Warroad	MN
swmetro seat based	L'Enfant Plaza Metro 7th & Maryland Entrance	38.8860331	-77.0214357	Washington	DC
chaska high school	Chaska High School	44.824384	-93.58930339999999	Chaska	MN
chester creek academy	Chester Creek Academy	46.81487449999999	-92.09338869999999	Duluth	MN
mesabi east secondary	Mesabi East Elementary School	47.5316038	-92.2411911	Aurora	MN
cotton secondary	Cotton Secondary School	47.1745145	-92.4793512	Cotton	MN
oak-land junior high	Oak Land Junior High School	44.96082499999999	-92.86452299999999	Lake Elmo	MN
lynd middle school targeted service	Lynd Elementary School	44.3861111	-95.8936111	Lynd	MN
technical senior high	Technical High School	45.55421389999999	-94.1655724	St Cloud	MN
minnesota state academies	Minnesota State Academy for the Deaf	44.2968604	-93.2615245	Faribault	MN
fulda elementary	Fulda Elementary School	43.87180499999999	-95.6018105	Fulda	MN
hayes elementary	Hayes Elementary School	33.9909165	-84.63093669999999	Kennesaw	GA
sobriety high	Sobriety High School	44.7830382	-93.2774663	Burnsville	MN
orono intermediate elementary	Orono School District	44.99078799999999	-93.59803	Long Lake	MN
eagle point elementary	Eagle Point Elementary School	26.1275	-80.3997222	Weston	FL
sanford education center	National University - Spectrum Business Park Campus	32.82948	-117.1272815	San Diego	CA
mn correctional facility-shakopee	Corrections Facility	44.7906534	-93.537983	Shakopee	MN
brimhall elementary	Brimhall Elementary School	45.0053554	-93.1735916	Roseville	MN
dover-eyota middle school	Dover-Eyota High School	43.9831028	-92.2318779	Eyota	MN
hawley elementary	Hawley Elementary School	41.4147709	-73.3024021	Newtown	CT
lismore colony elementary	Lismore Colony Elementary School	45.42787999999999	-96.5339879	Clinton	MN
solo	Solo Cup	32.70807099999999	-97.03142460000001	Grand Prairie	TX
southwest junior high	Southwest Junior High School	36.1702991	-94.1520163	Springdale	AR
st. cloud group home	Hayward Group Home	43.65889250000001	-93.250678	Albert Lea	MN
dassel-cokato senior high	Dassel-Cokato High School	45.0831116	-94.23405919999999	Cokato	MN
faribault area learning center	Faribault Area Learning Center	44.3206397	-93.2700258	Faribault	MN
southwood ecse	Early Childhood Special Education	44.8006325	-93.3421587	Minneapolis	MN
stride academy middle school	Stride Academy	45.5826956	-94.1756113	St Cloud	MN
litchfield senior high	Litchfield High School	45.1359147	-94.5212924	Litchfield	MN
aitkin secondary school	Aitkin Secondary School	46.5336663	-93.71121749999999	Aitkin	MN
climax elementary	Climax-Shelly Public School	47.6077884	-96.8132505	Climax	MN
home/hospital instruction	Hospital Instructional School	40.831823	-73.827662	Bronx	NY
byron elementary	Byron Elementary School	32.6506699	-83.7507894	Byron	GA
newport elementary	Newport Elementary School	33.6064557	-117.9186038	Newport Beach	CA
st cloud hospital progs-residential	St Cloud Hospital Recovery Plus	45.56464	-94.22310000000002	St Cloud	MN
edinbrook elementary	Edinbrook Elementary School	45.1171546	-93.3589322	Brooklyn Park	MN
king elementary	King Elementary School	36.278681	-80.35390000000001	King	NC
barnum elementary	Barnum Elementary School	39.7176323	-105.0293876	Denver	CO
brandon secondary	Brandon Elementary School	45.96675889999999	-95.59930469999999	Brandon	MN
clarkfield charter school	Clarkfield Charter School	44.7827492	-95.8084397	Clarkfield	MN
odyssey academy	Odyssey Academy	45.06753159999999	-93.33985369999999	Minneapolis	MN
harvest preparatory school	Harvest Preparatory School	39.8911963	-82.8282892	Canal Winchester	OH
rockford middle	Rockford Middle School	45.0894767	-93.73724550000001	Rockford	MN
monticello senior high	Monticello Senior High School	45.2867048	-93.7779824	Monticello	MN
faribault middle	Faribault Middle School	44.2705263	-93.27821229999999	Faribault	MN
wabasso secondary	Wabasso Secondary School	44.4051488	-95.2554048	Wabasso	MN
crest view elementary	Crestview Elementary School	34.2549841	-118.7494495	Simi Valley	CA
hmong international academy	Hmong International Academy	45.0104329	-93.29846289999999	Minneapolis	MN
weaver elementary	Jack L. Weaver Elementary School	33.7899973	-118.0854161	Los Alamitos	CA
first city school	First City School	47.4721708	-94.89688840000001	Bemidji	MN
red lake county central elementary	Red Lake County Central Elementary	47.9095344	-96.0423344	Plummer	MN
196 extended school year	196 Extended School Year	44.74260169999999	-93.15645909999999	Rosemount	MN
probstfield elementary	Probstfield Center for Education	46.8503879	-96.75692099999999	Moorhead	MN
avalon middle school	Avalon Middle School	30.57015699999999	-87.0976948	Milton	FL
crosby-ironton secondary	Crosby-Ironton School District	46.4787025	-93.96643390000001	Crosby	MN
stillwater area public school dist.	Stillwater	45.0025674	-92.82149609999999	Stillwater	USA
south ridge elementary	Southridge Elementary School	33.01075410000001	-97.001817	Lewisville	TX
fair school downtown (k-3)	The FAIR School, Downtown Campus	44.975608	-93.2773832	Minneapolis	MN
columbia heights public school dist	Valley View School	45.05661970000001	-93.2511924	Minneapolis	MN
face to face academy	Face to Face	44.9762915	-93.06636499999999	St Paul	MN
eagle view elementary	Eagle View Elementary School	38.851391	-77.3630019	Fairfax	VA
invest north	NRW.INVEST (NORTH AMERICA) LLC	41.88481580000001	-87.62494799999999	Chicago	IL
east central senior secondary	East Central Senior High School	46.1799493	-92.8443432	Finlayson	MN
st. louis park special ed. program	St Louis Park Public Schools	44.9433526	-93.36148449999999	Minneapolis	MN
greenleaf elementary	Greenleaf Elementary School	44.75542749999999	-93.20847289999999	Apple Valley	MN
swanville secondary	Swanville Elementary School	45.9108837	-94.6416366	Swanville	MN
rocori middle	Rocori High School	45.4640399	-94.4289064	Cold Spring	MN
ada elementary	Ada Elementary School	42.9525745	-85.494164	Ada	MI
clinton-graceville-beardsley sr.	Clinton Graceville Beardsly Hs	45.56944439999999	-96.4333333	Graceville	MN
meadow lake elementary	Meadow Lake Elementary School	45.06501340000001	-93.3892371	New Hope	MN
highland park elementary	Highland Park Elementary School	38.9100227	-94.3133881	Lee's Summit	MO
new prague senior high	New Prague Senior High School	44.5594783	-93.5766822	New Prague	MN
drake residential treatment center	Drake Residential Treatment	46.8109876	-95.84684229999999	Detroit Lakes	MN
st. peter ecse	South Elementary School	44.3166667	-93.97277779999999	St Peter	MN
monroe elementary	Monroe Elementary School - Mathematics, Science and Children's Engineering	45.093425	-93.29323	Brooklyn Park	MN
horace may elementary	Horace May Elementary	47.41869560000001	-94.86577899999999	Bemidji	MN
jefferson senior high	Thomas Jefferson High School	44.8175826	-93.33130369999999	Minneapolis	MN
pine point elementary	Piney Point Elementary School	29.7245384	-95.5229257	Houston	TX
lafayette secondary	Lafayette High School	47.8797222	-96.2763889	Red Lake Falls	MN
melrose middle	Melrose Middle School	42.4639847	-71.06699669999999	Melrose	MA
milaca secondary high	Milaca High School	45.75088890000001	-93.6579194	Milaca	MN
dassel elementary	Dassel Elementary School	45.0829672	-94.3065658	Dassel	MN
montgomery pre k-8	Mckee Pre-K	32.2936772	-86.25510709999999	Montgomery	AL
long prairie-grey eagle school dist	Long Prairie Grey Eagle Public	45.9717674	-94.86248200000001	Long Prairie	MN
noble elementary	Noble Elementary School	45.0059122	-93.33984079999999	Minneapolis	MN
kasson-mantorville senior high	Kasson-Mantorville Senior High School	44.04496389999999	-92.746578	Kasson	MN
red lake middle school	Red Lake Early Childhood Center	47.8784924	-95.01465449999999	Red Lake	MN
laporte elementary	La Porte Elementary School	29.6571878	-95.0181985	La Porte	TX
bigfork secondary	Bigfork Public School	47.74509279999999	-93.6503242	Bigfork	MN
jackson middle	Jackson Middle School	45.152905	-93.353112	Champlin	MN
annandale elementary school	Annandale Elementary School	34.1286618	-118.1866466	Los Angeles	CA
la crescent-hokah elementary	La Crescent-Hokah Elementary School	43.82441039999999	-91.3065546	La Crescent	MN
greenwood elementary	Greenwood Elementary School	39.6158971	-104.9215334	Greenwood Village	CO
goodhue county education dist.	Goodhue County Education District	44.5379828	-92.52147629999999	Red Wing	MN
freshwater ed. dist.	Freshwater Education District	46.36535610000001	-94.7929705	Staples	MN
south campus 916	South Campus 916 Special Education	45.05901199999999	-93.00005	White Bear Lake	MN
eden prairie senior high	Eden Prairie High School	44.87173300000001	-93.49316859999999	Eden Prairie	MN
nasha shkola charter school	Nasha Shkola	44.9407803	-93.4678624	Minnetonka	MN
castle elementary	John H. Castle Elementary School	37.99048920000001	-87.3839074	Newburgh	IN
zumbrota-mazeppa elementary school	Zumbrota Elementary School	44.28993130000001	-92.6740011	Zumbrota	MN
leroy-ostrander public schools	LeRoy Ostrander High School	43.5133279	-92.5098264	Le Roy	MN
kenyon-wanamingo alternative	Kenyon-Wanamingo Senior High School	44.2677654	-92.99137270000001	Kenyon	MN
grey cloud elementary	Grey Cloud Elementary School	44.8415611	-92.91100139999999	Cottage Grove	MN
wadena-deer creek elementary	Wadena-Deer Creek PK-4 Elementary School	46.440421	-95.142585	Wadena	MN
minnetonka west middle	Minnetonka Public School District	44.9014838	-93.5092779	Minnetonka	MN
studio academy charter school	Studio Academy Charter School	44.0005171	-92.4695098	Rochester	MN
mankato west senior high	Mankato West High School	44.1589116	-94.01746899999999	Mankato	MN
north star academy	North Star Academy	40.49754949999999	-111.9615492	Bluffdale,	 UT
transition 2 success	Transition 2 Success Special Education	44.027322	-92.649035	Byron	MN
minnesota valley cooperative	Minn Valley Co-Op Light-Power	44.9412883	-95.72316649999999	Montevideo	MN
greenhaven elementary	Greenhaven Elementary School	47.4082282	-92.93689239999999	Hibbing	MN
prairiecare chaska	PrairieCare	44.8182904	-93.60113249999999	Chaska	MN
central senior high	Central High School	44.9493746	-93.14808719999999	St Paul	MN
reach academy	Reach Academy	37.74642960000001	-122.1615587	Oakland	CA
fair school downtown	The FAIR School, Downtown Campus	44.975608	-93.2773832	Minneapolis	MN
robbinsdale middle	Robbinsdale Middle School	45.0230178	-93.3458723	Minneapolis	MN
aurora charter school	Aurora Charter School	44.9551375	-93.2412773	Minneapolis	MN
zimmerman middle	Zimmerman Middle/High School	45.4383792	-93.5952872	Zimmerman	MN
917 paces	Intermediate School District 917	44.7372305	-93.07795279999999	Rosemount	MN
apollo senior high	Apollo High School	45.5702131	-94.2106082	St Cloud	MN
nisswa elementary	Nisswa Elementary School	46.5210757	-94.2863417	Nisswa	MN
viking elementary	Viking Elementary School	43.96173259999999	-91.2500359	Holmen	WI
cosmos learning center-transitions	Cosmos Learning Center-Transitions Special Education	44.9398229	-94.6993885	Cosmos	MN
central education campus	Central Education Campus Special Education	44.54703209999999	-93.5791837	New Prague	MN
indian mounds elementary	Indian Mounds Elementary School	44.8255205	-93.258556	Bloomington	MN
mps metro sj	Minneapolis Public Schools	44.99964790000001	-93.2967549	Minneapolis	MN
john marshall senior high	John Marshall High School	44.0348948	-92.4849539	Rochester	MN
maxfield elementary school	Maxfield Elementary School	44.9526686	-93.13549400000001	St Paul	MN
dassel-cokato public school dist.	Dassel-Cokato High School	45.0831116	-94.23405919999999	Cokato	MN
w.h.a. elementary	Walker Hackensack - Akeley School District	47.0978957	-94.579212	Walker	MN
truman secondary	Truman Public School	43.82644639999999	-94.4316103	Truman	MN
willow creek middle	Willowcreek Middle School	40.3897264	-111.8847215	Lehi	UT
murray middle school	Murray Middle School	44.98434	-93.1934141	St Paul	MN
milroy area charter school	Milroy Area Charter School	44.415991	-95.5556416	Milroy	MN
washington-kosciusko elementary	Washington-Kosciusko Elem School	44.04246299999999	-91.6195922	Winona	MN
austin area learning cntr. - summer	Austin Area Learning Center	43.6683081	-92.9780107	Austin	MN
town square center	Town Square Centre	41.8432041	-89.4829968	Dixon	IL
mcguire middle	McGuire Middle School	44.64216649999999	-93.2416824	Lakeville	MN
s.g.reinertsen elementary	S.G. Reinertsen Elementary School	46.8315466	-96.75982760000001	Moorhead	MN
st croix valley area learning cntr.	St. Croix Valley Area Learning Center	45.03153710000001	-92.8558813	Stillwater	MN
eisenhower elementary	Eisenhower Elementary School + Xin Xing Academy	44.9341667	-93.4130311	Hopkins	MN
loring-nicollet high	Loring Nicollet School	44.9630814	-93.2774374	Minneapolis	MN
rum river south	Rum River South	45.5902075	-93.21560260000001	Cambridge	MN
special education facilities	Maryland Association-Nonpublic	39.39961849999999	-76.6054535	Towson	MD
bamber valley elementary	Bamber Valley Elementary School	43.99168199999999	-92.5004139	Rochester	MN
round lake secondary	Brewster Elementary School	43.6971841	-95.46583749999999	Brewster	MN
alc westonka - is	Mound Westonka High School	44.9549153	-93.6719506	Minnetrista	MN
rosa parks elementary school	Rosa Parks Elementary School	38.6593686	-77.384838	Woodbridge	VA
omegon	Omegon Inc	44.96384080000001	-93.4211692	Minnetonka	MN
mn specialty health sys-cambridge	Cambridge Medical Center	45.5669615	-93.2304637	Cambridge	MN
watershed high school	Watershed High School	44.8842872	-93.2513962	Richfield	MN
pelican rapids alt center mid-level	Pelican Rapids High School	46.5659639	-96.08433690000001	Pelican Rapids	MN
linwood monroe arts plus lower	Linwood School	44.93607669999999	-93.1432758	St Paul	MN
south washington county school dist	South Washington County Schools	44.8297473	-92.95641379999999	Cottage Grove	MN
duluth public schools academy	The DECS North Star Academy	46.8275554	-92.13409419999999	Duluth	MN
lester prairie elementary	Lester Prairie Secondary School	44.8872705	-94.0439758	Lester Prairie	MN
grand rapids senior high	Grand Rapids High School	47.247146	-93.542346	Grand Rapids	MN
assessment center elem	The Fairhill School	32.9711921	-96.8029742	Dallas	TX
